你	你	nǐ	/you (informal, as opposed to courteous 您[nin2])/
他	他	tā	/he or him/
我們	我們	wǒmen	/we/
你們	你們	nǐmen	/you (plural)/
他們	他們	tāmen	/they/
您	您	nín	/you (courteous, as opposed to informal 你[ni3])/
誰	誰	shéi	/who/
人	人	rén	/man/
中國	中國	zhōngguó	/China/
美國	美國	měiguó	/United States/
日本	日本	rìběn	/Japan/
台灣	台灣	táiwān	/variant of 臺灣|台湾[Tai2 wan1]/
名字	名字	míngzi	/name (of a person or thing)/
家	家	jiā	/home/
電話	電話	diànhuà	/telephone/
現在	現在	xiànzài	/now/
今年	今年	jīnnián	/this year/
今天	今天	jīntiān	/today/
明天	明天	míngtiān	/tomorrow/
昨天	昨天	zuótiān	/yesterday/
早上	早上	zǎoshang	/early morning/
上午	上午	shàngwǔ	/morning/
中午	中午	zhōngwǔ	/noon/
下午	下午	xiàwǔ	/afternoon/
晚上	晚上	wǎnshang	/evening/
一	一	yī	/one/
二	二	èr	/two/
三	三	sān	/three/
四	四	sì	/four/
五	五	wǔ	/five/
六	六	liù	/six/
七	七	qī	/seven/
八	八	bā	/eight/
九	九	jiǔ	/nine/
十	十	shí	/ten/
零	零	líng	/zero/
兩	兩	liǎng	/two/
時候	時候	shíhòu	/time/
百	百	bǎi	/hundred/
半	半	bàn	/half/
爸爸	爸爸	bàba	/(informal) father/
媽媽	媽媽	māma	/mama/
哥哥	哥哥	gēge	/older brother/
弟弟	弟弟	dìdi	/younger brother/
姊姊	姊姊	jiějie	/older sister/
妹妹	妹妹	mèimei	/younger sister/
的	的	de	/of/
第	第	dì	/(prefix indicating ordinal number, e.g. first, number two etc)/
分	分	fēn	/to divide/
點	點	diǎn	/point/
個	個	ge	/individual/
歲	歲	suì	/classifier for years (of age)/
住	住	zhù	/to live/
來	來	lái	/to come/
是	是	shì	/(used in given names)/
姓	姓	xìng	/family name/
覺得	覺得	juéde	/to think/
喜歡	喜歡	xǐhuān	/to like/
打電話	打電話	dǎdiànhuà	/to make a telephone call/
高興	高興	gāoxìng	/happy/
漂亮	漂亮	piàoliàng	/pretty/
好	好	hǎo	/good/
很	很	hěn	/(adverb of degree)/
真	真	zhēn	/really/
電腦	電腦	diànnǎo	/computer/
老師	老師	lǎoshī	/teacher/
買	買	mǎi	/to buy/
忙	忙	máng	/busy/
學生	學生	xuéshēng	/student/
大學	大學	dàxué	/the Great Learning, one of the Four Books 四書|四书[Si4 shu1] in Confucianism/
學校	學校	xuéxiào	/school/
筆	筆	bǐ	/pen/
問	問	wèn	/to ask/
說	說	shuō	/to persuade/
寫	寫	xiě	/to write/
聽	聽	tīng	/to listen/
練習	練習	liànxí	/to practice/
能	能	néng	/can/
可以	可以	kěyǐ	/can/
上課	上課	shàngkè	/to go to class/
知道	知道	zhīdào	/to know/
電視	電視	diànshì	/television/
水	水	shuǐ	/water/
再	再	zài	/again/
書	書	shū	/book/
電影	電影	diànyǐng	/movie/
以前	以前	yǐqián	/before/
以後	以後	yǐhòu	/after/
走	走	zǒu	/to walk/
等	等	děng	/class/
看	看	kàn	/to look after/
什麼	什麼	shénme	/what?/
朋友	朋友	péngyǒu	/friend/
東西	東西	dōngxi	/east and west/
吧	吧	ba	/bar (loanword) (serving drinks, or providing Internet access etc)/
呢	呢	ne	"/particle indicating that a previously asked question is to be applied to the preceding word (""What about ...?"", ""And ...?"")/"
嗎	嗎	ma	"/(question particle for ""yes-no"" questions)/"
找	找	zhǎo	/to try to find/
做	做	zuò	/to do/
再見	再見	zàijiàn	/goodbye/
怎麼樣	怎麼樣	zěnmeyàng	/how?/
叫	叫	jiào	/variant of 叫[jiao4]/
謝謝	謝謝	xièxie	/to thank/
對不起	對不起	duìbuqǐ	/unworthy/
請問	請問	qǐngwèn	/Excuse me, may I ask...?/
這	這	zhè	/this/
那	那	nà	/that/
公共汽車	公共汽車	gōnggòngqìchē	/bus/
到	到	dào	/to (a place)/
去	去	qù	/to go/
回	回	huí	/variant of 迴|回[hui2]/
坐	坐	zuò	/to sit/
開車	開車	kāichē	/to drive a car/
錢	錢	qián	/coin/
多少	多少	duōshǎo	/number/
給	給	gěi	/to/
貴	貴	guì	/expensive/
便宜	便宜	piányi	/convenient/
小	小	xiǎo	/small/
難	難	nán	/difficult (to...)/
容易	容易	róngyì	/easy/
有	有	yǒu	/to have/
想	想	xiǎng	/to think/
幾	幾	jǐ	/almost/
塊	塊	kuài	/lump (of earth)/
飯	飯	fàn	/food/
吃	吃	chī	/variant of 吃[chi1]/
也	也	yě	/also/
沒	沒	méi	/(negative prefix for verbs)/
都	都	dōu	/all/
只	只	zhǐ	/classifier for birds and certain animals, one of a pair, some utensils, vessels etc/
可是	可是	kěshì	/but/
還是	還是	háishì	/or/
了	了	le	/(of eyes) bright/
過	過	guò	/to cross/
